                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.045,                 2.8946,                 1.1735,                0.00333,                      1,                0.89752,                 0.6323,                0.76945,                 3.2672,                 0.9344,                0.00032,                0.00032,                0.00032
                      2,                0.99303,                 1.7523,                 1.0877,                      1,                0.31761,                  0.846,                0.62073,                0.80835,                 3.3092,                0.96992,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.0473,                 1.6656,                 1.1203,                0.96135,                0.77333,                0.90948,                0.60785,                 1.0392,                 2.8399,                 1.1355,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.0314,                 1.5035,                 1.1018,                0.82091,                0.61122,                0.72643,                0.47897,                 1.0765,                 2.7207,                 1.1352,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.0667,                 1.5284,                 1.1193,                 0.8566,                0.74667,                0.83273,                0.55692,                 1.1124,                 2.6371,                 1.1548,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.0612,                 1.3769,                 1.1544,                 0.7838,                0.74667,                0.82759,                0.57833,                0.91568,                 2.0438,                 1.0722,               0.001901,               0.001901,               0.001901
                      7,                  1.075,                 1.3522,                 1.1378,                 0.8592,                0.48825,                0.49774,                0.32242,                 1.1021,                 2.0876,                 1.1874,               0.001901,               0.001901,               0.001901
                      8,                 1.0952,                 1.2883,                 1.1332,                0.66866,                0.40367,                0.45443,                0.33575,                  0.983,                 2.3314,                 1.1198,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.041,                 1.2032,                  1.134,                0.20961,                0.30667,                0.16874,                0.11517,                  1.114,                 4.4719,                  1.236,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.9964,                 1.0885,                 1.1112,                0.74465,                0.65333,                0.70775,                0.51744,                0.96915,                 2.4238,                 1.1367,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0374,                 1.1201,                 1.1248,                0.83558,                0.54215,                0.54449,                0.37616,                0.99533,                  1.347,                 1.1708,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0044,                 1.0084,                 1.0704,                 0.8122,                   0.52,                 0.5447,                0.37815,                0.96887,                 1.5409,                 1.1111,               0.001802,               0.001802,               0.001802
                     13,                0.96087,                0.95004,                 1.1038,                0.90303,                0.94667,                0.96326,                 0.7456,                0.91181,                 1.2069,                   1.06,              0.0017822,              0.0017822,              0.0017822
                     14,                0.96863,                0.93006,                 1.1182,                0.92661,                 0.8418,                0.92356,                0.70731,                 0.8518,                 1.1011,                 1.0456,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0245,                0.96573,                 1.1231,                0.89311,                   0.92,                0.94484,                0.75472,                0.70235,                0.95499,                0.96991,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94972,                0.87154,                 1.0675,                0.98406,                   0.96,                   0.97,                0.75316,                0.83788,                0.88535,                 1.0237,              0.0017228,              0.0017228,              0.0017228
                     17,                0.95386,                0.86748,                 1.0699,                0.98538,                0.89853,                0.95364,                0.74883,                0.83415,                0.93003,                  1.073,               0.001703,               0.001703,               0.001703
                     18,                0.92085,                0.80379,                 1.0516,                0.92348,                0.89333,                0.94881,                0.74169,                0.82026,                0.96575,                 1.0169,              0.0016832,              0.0016832,              0.0016832
                     19,                0.90788,                0.77707,                 1.0532,                0.93493,                0.95782,                0.96978,                0.76141,                0.80747,                0.76945,                 1.0069,              0.0016634,              0.0016634,              0.0016634
                     20,                0.90352,                  0.759,                 1.0585,                0.94708,                0.95455,                0.96369,                0.73099,                0.81434,                0.69463,                  1.033,              0.0016436,              0.0016436,              0.0016436
                     21,                0.91841,                 0.7397,                 1.0549,                0.94064,                0.98667,                0.95912,                0.76571,                0.78536,                0.65699,                0.98613,              0.0016238,              0.0016238,              0.0016238
